ticker,종목,updated_at,기관5일,기관20일,외국인5일,외국인20일,연기금5일,연기금20일,공매도비중%,공매도잔고비중%,잔고증감5일%p,수급데이터상태,공매도데이터상태
000660.KS,SK하이닉스,2026-08-20T10:55:13,779165.0,192656.0,-3651213.0,-2280035.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
005930.KS,삼성전자,2026-08-20T10:55:13,2324638.0,-4351038.0,-15553494.0,-3152155.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
042700.KS,한미반도체,2026-08-20T10:55:13,-120257.0,65144.0,-178717.0,352202.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
010120.KS,LS ELECTRIC,2026-08-20T10:55:13,-189287.0,-291125.0,-32089.0,368113.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
267260.KS,HD현대일렉트릭,2026-08-20T10:55:13,-33253.0,-172117.0,-24279.0,99849.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
298040.KS,효성중공업,2026-08-20T10:55:13,-7644.0,-33248.0,-6181.0,30758.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
034020.KS,두산에너빌리티,2026-08-20T10:55:13,531454.0,148105.0,-434919.0,-864163.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
329180.KS,HD현대중공업,2026-08-20T10:55:13,98864.0,-44432.0,22959.0,18542.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
012450.KS,한화에어로스페이스,2026-08-20T10:55:13,74965.0,66631.0,-71907.0,22067.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
277810.KS,레인보우로보틱스,2026-08-20T10:55:13,4505.0,-43020.0,-257965.0,-142604.0,,,,,,Naver Finance 수급 사용(pykrx 빈값 fallback),공매도 거래 조회 실패: get_shorting_volume_by_date: '거래량'; get_shorting_value_by_date: '거래대금'
